"code_commune_insee","nom_de_la_commune","code_postal","libelle_d_acheminement","ligne_5","_geopoint","latitude","longitude"
"01138","CULOZ BEON","01350","CULOZ BEON","BEON","45.855294900000004,5.7716215","45.855294900000004","5.7716215"
"01138","CULOZ BEON","01350","CULOZ BEON","CULOZ","45.855294900000004,5.7716215","45.855294900000004","5.7716215"
"01139","CURCIAT DONGALON","01560","CURCIAT DONGALON",,"46.4883121,5.16658655","46.4883121","5.16658655"
"01140","CURTAFOND","01310","CURTAFOND",,"46.2741585,5.10513255","46.2741585","5.10513255"
"01141","CUZIEU","01300","CUZIEU",,"45.82160715,5.6801793499999995","45.82160715","5.6801793499999995"
"01142","DAGNEUX","01120","DAGNEUX",,"45.8540144,5.07481235","45.8540144","5.07481235"
"01143","DIVONNE LES BAINS","01220","DIVONNE LES BAINS",,"46.3754468,6.1113921","46.3754468","6.1113921"
"01145","DOMPIERRE SUR VEYLE","01240","DOMPIERRE SUR VEYLE",,"46.0671684,5.216696349999999","46.0671684","5.216696349999999"
"01146","DOMPIERRE SUR CHALARONNE","01400","DOMPIERRE SUR CHALARONNE",,"46.14202295,4.900397","46.14202295","4.900397"
"01147","DOMSURE","01270","DOMSURE",,"46.4210607,5.2944627","46.4210607","5.2944627"
"01148","DORTAN","01590","DORTAN",,"46.3183577,5.644338599999999","46.3183577","5.644338599999999"
"01149","DOUVRES","01500","DOUVRES",,"45.98471415,5.37243705","45.98471415","5.37243705"
"01150","DROM","01250","DROM",,"46.2201599,5.3674101499999995","46.2201599","5.3674101499999995"
"01151","DRUILLAT","01160","DRUILLAT",,"46.069118700000004,5.2946662","46.069118700000004","5.2946662"
"01152","ECHALLON","01130","ECHALLON",,"46.22934815,5.73455575","46.22934815","5.73455575"
"01153","ECHENEVEX","01170","ECHENEVEX",,"46.31967025,6.01804555","46.31967025","6.01804555"
"01155","EVOSGES","01230","EVOSGES",,"45.963013399999994,5.50084995","45.963013399999994","5.50084995"
"01156","FARAMANS","01800","FARAMANS",,"45.9085758,5.1259744000000005","45.9085758","5.1259744000000005"
"01157","FAREINS","01480","FAREINS",,"46.02348985,4.76819925","46.02348985","4.76819925"
"01158","FARGES","01550","FARGES",,"46.16568115,5.9053772","46.16568115","5.9053772"
"01159","FEILLENS","01570","FEILLENS",,"46.33930105,4.8866073","46.33930105","4.8866073"
"01160","FERNEY VOLTAIRE","01210","FERNEY VOLTAIRE",,"46.2519658,6.1061384","46.2519658","6.1061384"
"01162","FLAXIEU","01350","FLAXIEU",,"45.81247545,5.7466328","45.81247545","5.7466328"
"01163","FOISSIAT","01340","FOISSIAT",,"46.3791679,5.1850869","46.3791679","5.1850869"
"01165","FRANCHELEINS","01090","FRANCHELEINS",,"46.070708100000004,4.81107115","46.070708100000004","4.81107115"
"01165","FRANCHELEINS","01090","FRANCHELEINS","AMAREINS","46.070708100000004,4.81107115","46.070708100000004","4.81107115"
"01165","FRANCHELEINS","01090","FRANCHELEINS","CESSEINS","46.070708100000004,4.81107115","46.070708100000004","4.81107115"
"01166","FRANS","01480","FRANS",,"45.99051585,4.781944299999999","45.99051585","4.781944299999999"
"01167","GARNERANS","01140","GARNERANS",,"46.21236375,4.82893855","46.21236375","4.82893855"
"01169","GENOUILLEUX","01090","GENOUILLEUX",,"46.1210526,4.79254975","46.1210526","4.79254975"
"01170","BEARD GEOVREISSIAT","01460","BEARD GEOVREISSIAT",,"46.188424850000004,5.5496958","46.188424850000004","5.5496958"
"01171","GEOVREISSET","01100","GEOVREISSET",,"46.251767900000004,5.6163155499999995","46.251767900000004","5.6163155499999995"
"01173","GEX","01170","GEX",,"46.35146795,6.048849199999999","46.35146795","6.048849199999999"
"01174","GIRON","01130","GIRON",,"46.2207494,5.7880657","46.2207494","5.7880657"
"01175","GORREVOD","01190","GORREVOD",,"46.41565315,4.95071865","46.41565315","4.95071865"
